,Date,min,max,mean
0,2020-01-06,0.009874629824390684,0.7692980570582506,0.41061628227181907
1,2020-01-16,0.0724280250202968,0.8241602703954027,0.5485363220155337
2,2020-01-26,0.004839652795226972,0.8635826431973659,0.5951521445812057
3,2020-02-15,0.1264119774376757,0.8625666502936554,0.5947995961682846
4,2020-02-25,0.043535478366316084,0.8194180392544637,0.5297502666156857
5,2020-03-21,-0.8569429264243011,0.9030951400992488,0.5172413385034916
6,2020-03-26,0.04772343292459701,0.7926111407570832,0.4503052739683547
7,2020-03-31,0.043031281212475764,0.7410514699084012,0.416686683598306
8,2020-04-10,-0.0006302138010151013,0.7570503676231062,0.38581302346634777
9,2020-04-15,-0.025941954271104867,0.7874102013043074,0.360215699347403
10,2020-05-30,0.06396653053628235,0.6479794629411194,0.2833864993706946
11,2020-06-04,-0.006171565987435821,0.8007948388791297,0.31671113591787864
12,2020-06-14,-0.006995475514255555,0.8060938168137638,0.3676466771195021
13,2020-06-19,0.0148029732549441,0.8015184892715967,0.38318632158783444
14,2020-06-24,0.0006833907157007078,0.8648500826151164,0.456930553246553
