,meanNDMI,meanNDVI,geometry
0,,,"POLYGON ((80.052684 12.75668592803289, 80.052684 12.756498, 80.052570087661 12.756498, 80.052684 12.75668592803289))"
1,0.17857627384364605,0.7112946882843971,"POLYGON ((80.052570087661 12.756498, 80.052684 12.756498, 80.052684 12.756198, 80.05238824304114 12.756198, 80.052570087661 12.756498))"
2,,,"POLYGON ((80.05238824304114 12.756198, 80.052684 12.756198, 80.052684 12.75613031818182, 80.052384 12.756191, 80.05238824304114 12.756198))"
3,0.14957983791828156,0.6871035695075989,"POLYGON ((80.052984 12.75718085606579, 80.052984 12.757098, 80.05293377690072 12.757098, 80.052984 12.75718085606579))"
4,0.2009590988357862,0.7232479850451151,"POLYGON ((80.05293377690072 12.757098, 80.052984 12.757098, 80.052984 12.756798, 80.05275193228086 12.756798, 80.05293377690072 12.757098))"
5,0.07148363813757896,0.5077217641201887,"POLYGON ((80.05275193228086 12.756798, 80.052984 12.756798, 80.052984 12.756498, 80.052684 12.756498, 80.052684 12.75668592803289, 80.05275193228086 12.756798))"
6,-0.07219739950960502,0.28559514321386814,"POLYGON ((80.052684 12.756498, 80.052984 12.756498, 80.052984 12.756198, 80.052684 12.756198, 80.052684 12.756498))"
7,-0.038857290986925364,0.41974301636219025,"POLYGON ((80.052684 12.756198, 80.052984 12.756198, 80.052984 12.75606963636364, 80.052684 12.75613031818182, 80.052684 12.756198))"
8,0.09399859979748726,0.6268643438816071,"POLYGON ((80.05328399999999 12.75767578409868, 80.05328399999999 12.757398, 80.05311562152058 12.757398, 80.05328399999999 12.75767578409868))"
9,0.13357978373427282,0.6386976540088654,"POLYGON ((80.05311562152058 12.757398, 80.05328399999999 12.757398, 80.05328399999999 12.757098, 80.052984 12.757098, 80.052984 12.75718085606579, 80.05311562152058 12.757398))"
10,0.07666648427645366,0.5078095694382986,"POLYGON ((80.052984 12.757098, 80.05328399999999 12.757098, 80.05328399999999 12.756798, 80.052984 12.756798, 80.052984 12.757098))"
11,-0.11399314593937662,0.23303021987279257,"POLYGON ((80.052984 12.756798, 80.05328399999999 12.756798, 80.05328399999999 12.756498, 80.052984 12.756498, 80.052984 12.756798))"
12,-0.1704079620540142,0.16629356890916824,"POLYGON ((80.052984 12.756498, 80.05328399999999 12.756498, 80.05328399999999 12.756198, 80.052984 12.756198, 80.052984 12.756498))"
13,-0.18044085303942362,0.16509485244750977,"POLYGON ((80.052984 12.756198, 80.05328399999999 12.756198, 80.05328399999999 12.75601311827654, 80.053264 12.756013, 80.052984 12.75606963636364, 80.052984 12.756198))"
14,0.22045406699180603,0.6716070771217346,"POLYGON ((80.05358399999999 12.75817071213157, 80.05358399999999 12.757998, 80.05347931076028 12.757998, 80.05358399999999 12.75817071213157))"
15,0.12141750783969958,0.5943490117788315,"POLYGON ((80.05347931076028 12.757998, 80.05358399999999 12.757998, 80.05358399999999 12.757698, 80.05329746614042 12.757698, 80.05347931076028 12.757998))"
16,0.06067775272660785,0.49321037862035966,"POLYGON ((80.05329746614042 12.757698, 80.05358399999999 12.757698, 80.05358399999999 12.757398, 80.05328399999999 12.757398, 80.05328399999999 12.75767578409868, 80.05329746614042 12.757698))"
17,-0.08654565364122391,0.25260894869764644,"POLYGON ((80.05328399999999 12.757398, 80.05358399999999 12.757398, 80.05358399999999 12.757098, 80.05328399999999 12.757098, 80.05328399999999 12.757398))"
18,-0.1383799235853884,0.18273677594131893,"POLYGON ((80.05328399999999 12.757098, 80.05358399999999 12.757098, 80.05358399999999 12.756798, 80.05328399999999 12.756798, 80.05328399999999 12.757098))"
19,-0.15950815131266913,0.1741923408375846,"POLYGON ((80.05328399999999 12.756798, 80.05358399999999 12.756798, 80.05358399999999 12.756498, 80.05328399999999 12.756498, 80.05328399999999 12.756798))"
20,-0.19294320916136107,0.15226165453592935,"POLYGON ((80.05328399999999 12.756498, 80.05358399999999 12.756498, 80.05358399999999 12.756198, 80.05328399999999 12.756198, 80.05328399999999 12.756498))"
21,-0.18593709667523703,0.13167352229356766,"POLYGON ((80.05328399999999 12.756198, 80.05358399999999 12.756198, 80.05358399999999 12.75601489242467, 80.05328399999999 12.75601311827654, 80.05328399999999 12.756198))"
22,0.20622544586658478,0.6898451805114746,"POLYGON ((80.05388399999998 12.75859753746978, 80.05388399999998 12.758298, 80.05366115538014 12.758298, 80.053843 12.758598, 80.05388399999998 12.75859753746978))"
23,0.08988877625337668,0.49360001193625586,"POLYGON ((80.05366115538014 12.758298, 80.05388399999998 12.758298, 80.05388399999998 12.757998, 80.05358399999999 12.757998, 80.05358399999999 12.75817071213157, 80.05366115538014 12.758298))"
24,-0.11130138579756021,0.21617253497242928,"POLYGON ((80.05358399999999 12.757998, 80.05388399999998 12.757998, 80.05388399999998 12.757698, 80.05358399999999 12.757698, 80.05358399999999 12.757998))"
25,-0.13272344460710883,0.21249073867996535,"POLYGON ((80.05358399999999 12.757698, 80.05388399999998 12.757698, 80.05388399999998 12.757398, 80.05358399999999 12.757398, 80.05358399999999 12.757698))"
26,-0.15323144878493622,0.19446145556867123,"POLYGON ((80.05358399999999 12.757398, 80.05388399999998 12.757398, 80.05388399999998 12.757098, 80.05358399999999 12.757098, 80.05358399999999 12.757398))"
27,-0.17528561688959599,0.14822659393151602,"POLYGON ((80.05358399999999 12.757098, 80.05388399999998 12.757098, 80.05388399999998 12.756798, 80.05358399999999 12.756798, 80.05358399999999 12.757098))"
