,meanNDMI,geometry
0,,"POLYGON ((80.054186 12.75933299999999, 80.054186 12.759246, 80.05415048979593 12.759246, 80.054186 12.75933299999999))"
1,0.1293937936425209,"POLYGON ((80.05415048979593 12.759246, 80.054186 12.759246, 80.054186 12.75894600000001, 80.05402804081633 12.75894600000001, 80.05415048979593 12.759246))"
2,0.13169395178556442,"POLYGON ((80.05402804081633 12.75894600000001, 80.054186 12.75894600000001, 80.054186 12.75864600000001, 80.05390559183674 12.75864600000001, 80.05402804081633 12.75894600000001))"
3,,"POLYGON ((80.05390559183674 12.75864600000001, 80.054186 12.75864600000001, 80.054186 12.75859902289333, 80.05388600000001 12.758598, 80.05390559183674 12.75864600000001))"
4,0.11985283469160397,"POLYGON ((80.054486 12.75981592831541, 80.054486 12.759546, 80.05427293877551 12.759546, 80.054326 12.759676, 80.054486 12.75981592831541))"
5,0.11515443474054336,"POLYGON ((80.05427293877551 12.759546, 80.054486 12.759546, 80.054486 12.759246, 80.054186 12.759246, 80.054186 12.75933299999999, 80.05427293877551 12.759546))"
6,0.12248444867630799,"POLYGON ((80.054186 12.759246, 80.054486 12.759246, 80.054486 12.75894600000001, 80.054186 12.75894600000001, 80.054186 12.759246))"
7,0.14053143560886383,"POLYGON ((80.054186 12.75894600000001, 80.054486 12.75894600000001, 80.054486 12.75864600000001, 80.054186 12.75864600000001, 80.054186 12.75894600000001))"
8,,"POLYGON ((80.054186 12.75864600000001, 80.054486 12.75864600000001, 80.054486 12.75860004578665, 80.054186 12.75859902289333, 80.054186 12.75864600000001))"
9,0.13569698731104532,"POLYGON ((80.05478599999999 12.76007829390681, 80.05478599999999 12.759846, 80.05452038524591 12.759846, 80.05478599999999 12.76007829390681))"
10,0.12349661315480868,"POLYGON ((80.05452038524591 12.759846, 80.05478599999999 12.759846, 80.05478599999999 12.759546, 80.054486 12.759546, 80.054486 12.75981592831541, 80.05452038524591 12.759846))"
11,0.1160809952351782,"POLYGON ((80.054486 12.759546, 80.05478599999999 12.759546, 80.05478599999999 12.759246, 80.054486 12.759246, 80.054486 12.759546))"
12,0.11935578866137399,"POLYGON ((80.054486 12.759246, 80.05478599999999 12.759246, 80.05478599999999 12.75894600000001, 80.054486 12.75894600000001, 80.054486 12.759246))"
13,0.1502304250995318,"POLYGON ((80.054486 12.75894600000001, 80.05478599999999 12.75894600000001, 80.05478599999999 12.75864600000001, 80.054486 12.75864600000001, 80.054486 12.75894600000001))"
14,,"POLYGON ((80.054486 12.75864600000001, 80.05478599999999 12.75864600000001, 80.05478599999999 12.75860106867998, 80.054486 12.75860004578665, 80.054486 12.75864600000001))"
15,0.14259811490774155,"POLYGON ((80.05508599999999 12.7603406594982, 80.05508599999999 12.760146, 80.05486341803278 12.760146, 80.05508599999999 12.7603406594982))"
16,0.1416305121448305,"POLYGON ((80.05486341803278 12.760146, 80.05508599999999 12.760146, 80.05508599999999 12.759846, 80.05478599999999 12.759846, 80.05478599999999 12.76007829390681, 80.05486341803278 12.760146))"
17,0.11914760371049245,"POLYGON ((80.05478599999999 12.759846, 80.05508599999999 12.759846, 80.05508599999999 12.759546, 80.05478599999999 12.759546, 80.05478599999999 12.759846))"
18,0.09676757703224818,"POLYGON ((80.05478599999999 12.759546, 80.05508599999999 12.759546, 80.05508599999999 12.759246, 80.05478599999999 12.759246, 80.05478599999999 12.759546))"
19,0.110401993824376,"POLYGON ((80.05478599999999 12.759246, 80.05508599999999 12.759246, 80.05508599999999 12.75894600000001, 80.05478599999999 12.75894600000001, 80.05478599999999 12.759246))"
20,0.13615945540368557,"POLYGON ((80.05478599999999 12.75894600000001, 80.05508599999999 12.75894600000001, 80.05508599999999 12.75864600000001, 80.05478599999999 12.75864600000001, 80.05478599999999 12.75894600000001))"
21,,"POLYGON ((80.05478599999999 12.75864600000001, 80.05508599999999 12.75864600000001, 80.05508599999999 12.75860209157331, 80.05478599999999 12.75860106867998, 80.05478599999999 12.75864600000001))"
22,,"POLYGON ((80.05538599999998 12.76045063530117, 80.05538599999998 12.760446, 80.05536175548589 12.760446, 80.05538599999998 12.76045063530117))"
23,0.14386227997866544,"POLYGON ((80.05536175548589 12.760446, 80.05538599999998 12.760446, 80.05538599999998 12.760146, 80.05508599999999 12.760146, 80.05508599999999 12.7603406594982, 80.05516299999999 12.760408, 80.05536175548589 12.760446))"
24,0.14190118263165155,"POLYGON ((80.05508599999999 12.760146, 80.05538599999998 12.760146, 80.05538599999998 12.759846, 80.05508599999999 12.759846, 80.05508599999999 12.760146))"
25,0.1294806832447648,"POLYGON ((80.05508599999999 12.759846, 80.05538599999998 12.759846, 80.05538599999998 12.759546, 80.05508599999999 12.759546, 80.05508599999999 12.759846))"
26,0.11355478192369144,"POLYGON ((80.05508599999999 12.759546, 80.05538599999998 12.759546, 80.05538599999998 12.759246, 80.05508599999999 12.759246, 80.05508599999999 12.759546))"
27,0.11565785047908624,"POLYGON ((80.05508599999999 12.759246, 80.05538599999998 12.759246, 80.05538599999998 12.75894600000001, 80.05508599999999 12.75894600000001, 80.05508599999999 12.759246))"
28,0.12273318227380514,"POLYGON ((80.05508599999999 12.75894600000001, 80.05538599999998 12.75894600000001, 80.05538599999998 12.75864600000001, 80.05508599999999 12.75864600000001, 80.05508599999999 12.75894600000001))"
29,,"POLYGON ((80.05508599999999 12.75864600000001, 80.05538599999998 12.75864600000001, 80.05538599999998 12.75860311446663, 80.05508599999999 12.75860209157331, 80.05508599999999 12.75864600000001))"
