,geometry,meanNDVI,meanSAVI,meanEVI,meanARVI,meanGNDVI,meanNDCI,meanNPCRI,meanPSRI,meanBSI,meanNDMI,meanNDWI
0,"POLYGON ((80.06210110108225 12.81309355013467, 80.06210110108225 12.81278784847614, 80.06160110108225 12.81278784847614, 80.06160110108225 12.81298570699741, 80.06210110108225 12.81309355013467))",0.5822113193457086,0.8312913724601306,1.4939716332583102,0.5790228636887627,0.5622724128429598,0.2637578247391185,0.1920394016079981,0.10446662971403718,-0.026452628041760705,0.07915729331771916,-0.5622724128429598
1,"POLYGON ((80.06160110108225 12.81278784847614, 80.06210110108225 12.81278784847614, 80.06210110108225 12.81228784847614, 80.06160110108225 12.81228784847614, 80.06160110108225 12.81278784847614))",0.6727606010151926,0.9605776635583694,1.8965056542863619,0.6711443913526435,0.6152521187025322,0.3448583270435956,0.13710670840343755,0.0601410737043468,-0.0891471839308695,0.1324910538236591,-0.6152521187025322
2,"POLYGON ((80.06160110108225 12.81228784847614, 80.06210110108225 12.81228784847614, 80.06210110108225 12.81178784847614, 80.06160110108225 12.81178784847614, 80.06160110108225 12.81228784847614))",0.7340705504566424,1.0481205765805122,2.1579444351293535,0.7332260512374918,0.6493473898967137,0.4008534440536742,0.0992226337213841,0.03625711910665126,-0.15022579518882828,0.19121377937500625,-0.6493473898967137
3,"POLYGON ((80.06160110108225 12.81178784847614, 80.06210110108225 12.81178784847614, 80.06210110108225 12.81128784847614, 80.06160110108225 12.81128784847614, 80.06160110108225 12.81178784847614))",0.7793168680194202,1.1127246792614938,2.403387808326937,0.7790280161715107,0.6748602790850794,0.4250308765330371,0.05611362239532724,0.01679253328871888,-0.2527641557404929,0.30020589665007885,-0.6748602790850794
4,"POLYGON ((80.06160110108225 12.81128784847614, 80.06210110108225 12.81128784847614, 80.06210110108225 12.81078784847614, 80.06160110108225 12.81078784847614, 80.06160110108225 12.81128784847614))",0.7749954586709457,1.1065478937506619,2.424372546754667,0.7746749678064642,0.6691948738735564,0.419782930283213,0.051198994878136096,0.016317387025024842,-0.2443053571701076,0.2899916401527328,-0.6691948738735564
5,"POLYGON ((80.06160110108225 12.81078784847614, 80.06210110108225 12.81078784847614, 80.06210110108225 12.81028784847614, 80.06160110108225 12.81028784847614, 80.06160110108225 12.81078784847614))",0.7455406828823727,1.0644791151999748,2.3538927556203153,0.745073390850079,0.6470935907463427,0.38474500320345234,0.062337783284701055,0.02228564993941203,-0.20767286817292027,0.2543784944382914,-0.6470935907463427
6,"POLYGON ((80.06160110108225 12.81028784847614, 80.06210110108225 12.81028784847614, 80.06210110108225 12.80978784847614, 80.06160110108225 12.80978784847614, 80.06160110108225 12.81028784847614))",0.6121784733769597,0.8740545248029747,1.7806805735775082,0.6096966903148826,0.5382463013007471,0.31933306360790925,0.1279273136320652,0.0708368779309806,-0.1524740014125937,0.2284615334275076,-0.5382463013007471
7,"POLYGON ((80.06160110108225 12.80978784847614, 80.06210110108225 12.80978784847614, 80.06210110108225 12.80928784847614, 80.06160110108225 12.80928784847614, 80.06160110108225 12.80978784847614))",0.7006194112140729,1.0003402252620264,2.0437383918923455,0.6994054811542374,0.6103546067404498,0.37758085119340445,0.11174522029181852,0.04399681912424689,-0.19878856222059502,0.2630285411916582,-0.6103546067404498
8,"POLYGON ((80.06160110108225 12.80928784847614, 80.06210110108225 12.80928784847614, 80.06210110108225 12.80878784847614, 80.06160110108225 12.80878784847614, 80.06160110108225 12.80928784847614))",0.7767317377517069,1.1090241679105721,2.4394242433676685,0.7764217387911434,0.6708499120573407,0.42161322553074243,0.050608479035471714,0.01550612363721681,-0.226034615870134,0.2682435280779333,-0.6708499120573407
9,"POLYGON ((80.06160110108225 12.80878784847614, 80.06210110108225 12.80878784847614, 80.06210110108225 12.80828784847614, 80.06160110108225 12.80828784847614, 80.06160110108225 12.80878784847614))",0.6468481185472501,0.9235795858125054,1.8200751116429739,0.644669863818007,0.591237818851496,0.3347110258282021,0.1366270161017626,0.07160321020381445,-0.08629143123321456,0.13201633537616506,-0.591237818851496
10,"POLYGON ((80.06160110108225 12.80828784847614, 80.06210110108225 12.80828784847614, 80.06210110108225 12.80778784847614, 80.06160110108225 12.80778784847614, 80.06160110108225 12.80828784847614))",0.5136789687807709,0.7334299238272701,1.3675149952715742,0.509549467935557,0.46966538552588033,0.27824132058149037,0.17683058747608876,0.10992838568753778,-0.05424403046676918,0.13180467929489062,-0.46966538552588033
11,"POLYGON ((80.06160110108225 12.80778784847614, 80.06210110108225 12.80778784847614, 80.06210110108225 12.80728784847614, 80.06160110108225 12.80728784847614, 80.06160110108225 12.80778784847614))",0.5917993957796341,0.8449955874518741,1.5360543574634091,0.5886246522893503,0.5508550542277423,0.30820018103043983,0.18590867301774336,0.09936354988372026,-0.0547089426254665,0.11415045155931841,-0.5508550542277423
12,"POLYGON ((80.06160110108225 12.80728784847614, 80.06210110108225 12.80728784847614, 80.06210110108225 12.80678784847614, 80.06160110108225 12.80678784847614, 80.06160110108225 12.80728784847614))",0.5664542173407517,0.8087955692580405,1.4072459871918213,0.5626764010710436,0.5440197682794159,0.301588214749085,0.20604118835793314,0.11511478237793324,-0.06991330643053326,0.14307137100203274,-0.5440197682794159
