,Date,min,max,mean
0,2020-01-06,-0.07548613933428845,0.5956480693356077,0.2795759031906993
1,2020-01-16,-0.09523465293793368,0.568986561508526,0.2338781609798335
2,2020-01-26,-0.12001360587639465,0.4904155370150223,0.21577627860493703
3,2020-02-15,-0.13152598991233072,0.439589716086294,0.1941849119011939
4,2020-02-25,-0.16426277775306933,0.4002300139708486,0.1567507241189338
5,2020-03-21,-0.8949134327049569,0.3943523106212168,0.0782532441209959
6,2020-03-26,-0.2723258326709498,0.3577007747422061,0.05832883674579689
7,2020-03-31,-0.21760457273712872,0.3501620080021426,0.025545060201275345
8,2020-04-10,-0.2443830539005819,0.3048523157644282,-0.033513553056423485
9,2020-04-15,-0.3447441582168156,0.29957394866514003,-0.050527359690105196
10,2020-05-30,-0.21436125244624926,0.2687805337978193,-0.01460745479094769
11,2020-06-04,-0.3843858127371709,0.3743263778409036,-0.004341663783086582
12,2020-06-14,-0.2878971154282276,0.34850726791790315,0.000601587923188366
13,2020-06-19,-0.24759557396703996,0.34036058066053765,0.017472227718005526
14,2020-06-24,-0.27048346442161514,0.3521168073229697,0.03857811322340317
