,geometry,JAN01,JAN06,JAN11,JAN16,JAN21,JAN26,JAN31,FEB05,FEB10,FEB15,FEB20,FEB25,MAR01,MAR06,MAR11,MAR16,MAR21,MAR26,MAR31,APR05,APR10,APR15,APR20,APR25,APR30,MAY05,MAY10,MAY15,MAY20,MAY25,MAY30,JUN04,JUN09,JUN14,JUN19,JUN24,JUN29,JUL04
0,"POLYGON ((80.06210110108225 12.81309355013467, 80.06210110108225 12.81278784847613, 80.06160110108225 12.81278784847613, 80.06160110108225 12.81298570699741, 80.06210110108225 12.81309355013467))",-0.021429689077885845,0.5863414013562486,0.5431110130209723,0.5822113193457086,0.5875284661942022,0.5739081091883258,0.5083616882459729,0.5418215121065885,0.39417616849950254,0.492993498319296,0.3810109405322081,0.4266295864997243,0.4257388488568065,0.15571882673826734,0.39535121521778144,0.3734338139751816,0.3645445145363371,0.3389069921619479,0.3540706155562568,0.00434551331820136,0.3624755359241571,0.35051340471229103,0.002022244822318744,0.26506962577843235,0.3206508576675711,0.2952099348503126,0.029644482666745336,0.11069739029277614,0.21133893085101735,0.29609795929401816,0.3000989305796446,0.3036967336317849,0.06829560312543557,0.3257002753806726,0.3396698518609889,0.3676234457919949,0.03687824742167744,0.05657514597051794
1,"POLYGON ((80.06160110108225 12.81278784847613, 80.06210110108225 12.81278784847613, 80.06210110108225 12.81228784847613, 80.06160110108225 12.81228784847613, 80.06160110108225 12.81278784847613))",-0.028674819044465893,0.6589853145615281,0.6117350051534919,0.6727606010151926,0.6698577997488114,0.6781793461731854,0.5817925564837376,0.6442206311597699,0.44837167475739975,0.5890330625253615,0.5153591533125158,0.5259625223953736,0.5155128085236379,0.16083008977142355,0.5003364463278719,0.4842225657494479,0.5155083273395668,0.4623522799572589,0.4512071079524255,-0.0016648890486171512,0.4715666739116442,0.4921524010837999,0.010925094119474434,0.34023138173719103,0.4188241299993858,0.4553352015955793,0.045024443529048185,0.12727571265910145,0.24012829252790416,0.3954251921682994,0.4112972217029861,0.4897569893666107,0.06612724665603935,0.4899121096983105,0.4616736548805606,0.5483424704308564,0.03899602222074594,0.05431724751574084
2,"POLYGON ((80.06160110108225 12.81228784847613, 80.06210110108225 12.81228784847613, 80.06210110108225 12.81178784847613, 80.06160110108225 12.81178784847613, 80.06160110108225 12.81228784847613))",-0.01679406123227826,0.71965867437368,0.6762760285077772,0.7340705504566424,0.7202649342014548,0.7319127660197421,0.6305985648988336,0.7081504665366699,0.4868945795581803,0.6319435861304179,0.5625503375672529,0.5691794807446191,0.5278429893841862,0.18070067915675064,0.5391087299851978,0.5338768547824615,0.5677093267045962,0.5086584810625377,0.4958410282207605,0.008001426434311495,0.5398015439577308,0.5665488213377811,0.010693742687158388,0.38307169518672496,0.4811935072510863,0.5431690013413949,0.06332199884407644,0.16215786829817225,0.2660340482076205,0.4575612240320919,0.4856659130874688,0.5728533957823708,0.06379231489707593,0.5784743313272295,0.5549570715610899,0.6290788060169779,0.03912019378326012,0.054981832644078237
3,"POLYGON ((80.06160110108225 12.81178784847613, 80.06210110108225 12.81178784847613, 80.06210110108225 12.81128784847613, 80.06160110108225 12.81128784847613, 80.06160110108225 12.81178784847613))",-0.017256414664121242,0.7692980570582506,0.7281229216579779,0.7793168680194202,0.7811974003163419,0.7530409102829295,0.6428075422916752,0.6871529432237573,0.4689266796843088,0.5886005193886609,0.4881384871846927,0.4580210917041789,0.4234145570759749,0.15686480266925298,0.4476765855696002,0.42079874537898976,0.5164871853120018,0.5032076239790036,0.5256415143797298,0.0017181182050335284,0.6721265615924698,0.7180758849466045,0.03245341094990633,0.4598374283587832,0.592724943006935,0.6046197397755841,0.071721784233805,0.1752396161658553,0.2687344092817386,0.4229919566620196,0.44840479499851504,0.4698069101884967,0.06550028675480761,0.4778379376025732,0.4846442710291564,0.5055254093062456,0.038950476765886685,0.05926071678128055
4,"POLYGON ((80.06160110108225 12.81128784847613, 80.06210110108225 12.81128784847613, 80.06210110108225 12.81078784847612, 80.06160110108225 12.81078784847612, 80.06160110108225 12.81128784847613))",-0.007226593147685956,0.7636919753071184,0.7226991771861538,0.7749954586709457,0.7481143754596139,0.764317835646115,0.6326187487926732,0.6962326805774208,0.4519339609481061,0.5870400669222334,0.4522338938965845,0.4247513464987266,0.3462950949986368,0.1433667074051809,0.36595848713210943,0.3325008180169409,0.3634314947859147,0.3730457949339353,0.4385895329380316,-0.019388995718925228,0.6249885999296709,0.6261383285541642,0.0244208513900563,0.4132147825155391,0.5643955936063043,0.4936519275275846,0.027031017356583774,0.16429880880136674,0.2466837538528694,0.3199267379025237,0.4048848272467807,0.4611203485903323,0.06625057972516131,0.4688454216419936,0.4246378421533817,0.5370688661979041,0.03915839301087425,0.058265076395211085
5,"POLYGON ((80.06160110108225 12.81078784847612, 80.06210110108225 12.81078784847612, 80.06210110108225 12.81028784847612, 80.06160110108225 12.81028784847612, 80.06160110108225 12.81078784847612))",-0.031818534097325,0.6898144874509776,0.6738369798964019,0.7455406828823727,0.7027715032096283,0.760679779075852,0.6121985846351939,0.7236408275553892,0.4748238244156555,0.6212578957112861,0.555697556297931,0.4683508953092232,0.3102233361514005,0.17284038793334328,0.4151674140393626,0.3460176759047714,0.3612225943567168,0.34971574938477634,0.3557271144518049,-0.033021408498494415,0.4281034971408571,0.4649071842206472,0.0027953416280377913,0.31948778029447183,0.3895988654067096,0.3833674927225891,0.0593754596108234,0.18397312536923224,0.2611648084471208,0.4017865052780977,0.5590250513607419,0.6905739147990635,0.06683475634239508,0.7197373453660141,0.6908794772859749,0.7377311384384482,0.040595139188457294,0.05761674035534406
6,"POLYGON ((80.06160110108225 12.81028784847612, 80.06210110108225 12.81028784847612, 80.06210110108225 12.80978784847612, 80.06160110108225 12.80978784847612, 80.06160110108225 12.81028784847612))",-0.050635897498515915,0.6273290326557421,0.5950262196185178,0.6121784733769597,0.5859014302606315,0.6915618542891041,0.5757548582778785,0.7522840679925283,0.4952713252023209,0.7008687361503719,0.6304710851675348,0.5640923952776513,0.4290415896450189,0.21650388686378466,0.4311584836634408,0.6300341359739572,0.6721049927875917,0.575672545443206,0.5276907506333884,0.08669411351903751,0.5253515842977933,0.4770215510625195,-0.006721856097474979,0.32844648212936794,0.4100880322786352,0.4060819809835438,0.04460068709391126,0.1669640437015055,0.2486065490179986,0.383304388170526,0.44467344914223855,0.5152448732297747,0.06661254440064553,0.5932445386447879,0.6334099313497052,0.6818389548483696,0.04059777156141522,0.05465307357967372
7,"POLYGON ((80.06160110108225 12.80978784847612, 80.06210110108225 12.80978784847612, 80.06210110108225 12.80928784847612, 80.06160110108225 12.80928784847612, 80.06160110108225 12.80978784847612))",-0.031962222961876965,0.6419908197023589,0.6238058255184917,0.7006194112140729,0.6773875599094922,0.7487628108064361,0.6086856016216939,0.7571164616090774,0.5583442877509636,0.6804358109528424,0.6239697142655755,0.5165230309201763,0.24628541958526226,0.20653883704864215,0.17120809469218112,0.5502844441896717,0.5768550609496828,0.5131662450345961,0.5032411281301985,0.2528809219986965,0.5145475013648297,0.5021260793344644,0.012314453660682694,0.35230782724240417,0.4310906859233598,0.4785916015360195,0.044277991097915866,0.21173602776750192,0.2520676268362301,0.3997090291655385,0.4206401778160582,0.4841589911112997,0.06535940492314593,0.4776183710938838,0.4836424637926003,0.5422130842997023,0.03634799544754784,0.057428399029066386
8,"POLYGON ((80.06160110108225 12.80928784847612, 80.06210110108225 12.80928784847612, 80.06210110108225 12.80878784847612, 80.06160110108225 12.80878784847612, 80.06160110108225 12.80928784847612))",-0.02386383677976491,0.6646911374368587,0.7011641102041453,0.7767317377517069,0.7395504893184192,0.7847719687356206,0.5902647743865055,0.7650465342305672,0.6019996166009879,0.66364181591835,0.5706507018945826,0.34889719330796864,0.13394456627741064,0.19561698979692524,0.06884674548972355,0.4578252368195656,0.4734401940250176,0.4378214569932557,0.4497368128578094,0.3596521567190681,0.4838581878287221,0.5061269076621197,-0.0003699309263086429,0.3734204200116849,0.5023384119781871,0.5516992752285411,0.007168324600531064,0.27917555008375977,0.2802103375020912,0.4742227486523726,0.529072754769881,0.6275476017410487,0.06450551370552755,0.6137468141330646,0.5326297818093766,0.6128761682685152,0.03544093976099229,0.05978602203504585
9,"POLYGON ((80.06160110108225 12.80878784847612, 80.06210110108225 12.80878784847612, 80.06210110108225 12.80828784847612, 80.06160110108225 12.80828784847612, 80.06160110108225 12.80878784847612))",-0.019294221594203426,0.5763245238146247,0.6285306634866008,0.6468481185472501,0.5826136016022725,0.6670238145705576,0.26967342893389024,0.5700591581276396,0.5078975484357194,0.5027504467550066,0.5054009480876877,0.2644697630447499,0.13096741918122148,0.10394361122507743,0.03957238968278271,0.5674765600439136,0.5942391849308575,0.5590274169613287,0.54728301883712,0.4626455053731138,0.5412185890677432,0.5528206692976266,0.2071019847674087,0.342136875983287,0.4593629127026463,0.4775671807208104,0.061831893775477736,0.2376166018221517,0.2527197127585291,0.3789686408714552,0.4211363762841368,0.44361052068132506,0.06293763520613854,0.4919570748879685,0.4885765928227597,0.5940790983634701,0.03471085081850865,0.05831619247409942
