,geometry,meanNDVI,meanSAVI,meanEVI,meanARVI,meanGNDVI,meanNDCI,meanNPCRI,meanPSRI,meanBSI,meanNDMI,meanNDWI
0,"POLYGON ((80.06210110108225 12.81309355013467, 80.06210110108225 12.81278784847614, 80.06160110108225 12.81278784847614, 80.06160110108225 12.81298570699741, 80.06210110108225 12.81309355013467))",0.5739081091883258,0.8194316137806685,1.2967309311865152,0.5696822993034146,0.5782173426651324,0.25251109846869585,0.2577438367596457,0.1382441300158047,-0.005724429877971017,0.06703283233889082,-0.5782173426651324
1,"POLYGON ((80.06160110108225 12.81278784847614, 80.06210110108225 12.81278784847614, 80.06210110108225 12.81228784847614, 80.06160110108225 12.81228784847614, 80.06160110108225 12.81278784847614))",0.6781793461731854,0.9683082669822795,1.7313633851892356,0.6761080370043488,0.6300830627991525,0.3464616120299604,0.1900441501955615,0.07910392273798007,-0.07421121507434925,0.12139333341445921,-0.6300830627991525
2,"POLYGON ((80.06160110108225 12.81228784847614, 80.06210110108225 12.81228784847614, 80.06210110108225 12.81178784847614, 80.06160110108225 12.81178784847614, 80.06160110108225 12.81228784847614))",0.731912766019742,1.0450331357415175,1.9461675814034658,0.7306845330392181,0.6613216799959472,0.3924742266375788,0.1574578724434469,0.054954809716755273,-0.13477302473704317,0.18028136105700426,-0.6613216799959472
3,"POLYGON ((80.06160110108225 12.81178784847614, 80.06210110108225 12.81178784847614, 80.06210110108225 12.81128784847614, 80.06160110108225 12.81128784847614, 80.06160110108225 12.81178784847614))",0.7530409102829295,1.0752050790361503,2.078201551683836,0.7522446384985536,0.6596415152226488,0.41650610508026004,0.13007728006645083,0.040966869145964604,-0.22864900920049464,0.2870062163255257,-0.6596415152226488
4,"POLYGON ((80.06160110108225 12.81128784847614, 80.06210110108225 12.81128784847614, 80.06210110108225 12.81078784847614, 80.06160110108225 12.81078784847614, 80.06160110108225 12.81128784847614))",0.764317835646115,1.0913024134746003,2.1703135518745706,0.7636322972611072,0.6700571130302503,0.41612704970915115,0.10959301825077633,0.035091672838024696,-0.2403860259470339,0.29488989362967977,-0.6700571130302503
5,"POLYGON ((80.06160110108225 12.81078784847614, 80.06210110108225 12.81078784847614, 80.06210110108225 12.81028784847614, 80.06160110108225 12.81028784847614, 80.06160110108225 12.81078784847614))",0.760679779075852,1.086094341409826,2.2341174096551972,0.7600438633836937,0.6655896185601883,0.4060502748405565,0.0895557383882153,0.030319645380548106,-0.22641266987844483,0.2763098382486087,-0.6655896185601883
6,"POLYGON ((80.06160110108225 12.81028784847614, 80.06210110108225 12.81028784847614, 80.06210110108225 12.80978784847614, 80.06160110108225 12.80978784847614, 80.06160110108225 12.81028784847614))",0.6915618542891041,0.9873878477426773,2.100137529202126,0.6904970618064888,0.5941422318088818,0.3823155739481712,0.10264628104440045,0.04121444080851205,-0.16973890792528015,0.22576135619949042,-0.5941422318088818
7,"POLYGON ((80.06160110108225 12.80978784847614, 80.06210110108225 12.80978784847614, 80.06210110108225 12.80928784847614, 80.06160110108225 12.80928784847614, 80.06160110108225 12.80978784847614))",0.7487628108064361,1.0690780018501824,2.1960049992356394,0.7480220608363676,0.6567790189226289,0.40832965773109814,0.0994175222123502,0.03458336364937609,-0.20158062884439143,0.2514368657405059,-0.6567790189226289
8,"POLYGON ((80.06160110108225 12.80928784847614, 80.06210110108225 12.80928784847614, 80.06210110108225 12.80878784847614, 80.06160110108225 12.80878784847614, 80.06160110108225 12.80928784847614))",0.7847719687356206,1.1205034911264136,2.3298269378369185,0.7843921845506829,0.685388123968385,0.42797247436592967,0.0744907734935319,0.021675503851309577,-0.24272107733351048,0.2884802084154545,-0.685388123968385
9,"POLYGON ((80.06160110108225 12.80878784847614, 80.06210110108225 12.80878784847614, 80.06210110108225 12.80828784847614, 80.06160110108225 12.80828784847614, 80.06160110108225 12.80878784847614))",0.6670238145705576,0.9523826210380708,1.8135639700010724,0.6650866456020861,0.6107147702367689,0.3414072181629888,0.15040045203305913,0.07016118796755078,-0.0977906626162997,0.14564203173045157,-0.6107147702367689
10,"POLYGON ((80.06160110108225 12.80828784847614, 80.06210110108225 12.80828784847614, 80.06210110108225 12.80778784847614, 80.06160110108225 12.80778784847614, 80.06160110108225 12.80828784847614))",0.48376729670915974,0.6907242587680915,1.2326122815457987,0.47881077284650986,0.4644958998521504,0.2519321672804165,0.19424655792758697,0.13007071869887413,-0.017863557087576754,0.08714521859231975,-0.4644958998521504
11,"POLYGON ((80.06160110108225 12.80778784847614, 80.06210110108225 12.80778784847614, 80.06210110108225 12.80728784847614, 80.06160110108225 12.80728784847614, 80.06160110108225 12.80778784847614))",0.498417213562816,0.7116547239195299,1.173212271606189,0.49253489736017464,0.5218035986763315,0.22443277711878418,0.23432074910223377,0.16181069247252777,0.044679365691292314,0.005139884193562142,-0.5218035986763315
12,"POLYGON ((80.06160110108225 12.80728784847614, 80.06210110108225 12.80728784847614, 80.06210110108225 12.80678784847614, 80.06160110108225 12.80678784847614, 80.06160110108225 12.80728784847614))",0.3840873299133786,0.5484064028239153,0.8466634117625387,0.3746353263688802,0.45464540648720586,0.17857809660339516,0.261926116812573,0.23249861768812427,0.10545870048017716,-0.05476130001061411,-0.45464540648720586
